Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Outcome Date,Outcome Type,days_stayed
BLACK,WHITE,Male,6/13/23,0,9/13/23,NORMAL,STRAY,FIELD,9/23/23,HOMEFIRST,10
CALICO DIL,,Female,5/14/23,0,9/14/23,NORMAL,STRAY,ABAN FIELD,9/17/23,HOMEFIRST,3
TAN,,Female,8/24/21,2,8/24/22,NORMAL,STRAY,OTC,8/28/22,HOMEFIRST,4
TAN,WHITE,Male,9/20/18,5,9/20/23,NORMAL,STRAY,OTC,9/27/23,HOMEFIRST,7
BLACK,,Male,6/25/22,1,8/25/22,NORMAL,STRAY,FIELD,10/9/22,HOMEFIRST,45
TAN,WHITE,Female,4/7/21,2,8/27/22,BEHAVIOR  MILD,RETURN,ADOPTION,10/22/22,HOMEFIRST,56
ORANGE,,Neutered,7/27/22,1,8/27/22,ILL MILD,STRAY,OTC,10/8/22,HOMEFIRST,42
GRAY TABBY,,Male,5/11/22,1,5/26/22,UNDER AGE/WEIGHT,STRAY,OTC,9/8/22,HOMEFIRST,105
BRN TABBY,,Male,4/10/22,1,5/26/22,ILL MILD,STRAY,OTC,6/11/22,HOMEFIRST,16
TAN,,Male,9/20/22,1,9/20/23,NORMAL,STRAY,OTC,9/23/23,HOMEFIRST,3
BLACK,TAN,Neutered,9/26/21,2,5/26/22,NORMAL,STRAY,OTC,6/29/22,HOMEFIRST,34
WHITE,BROWN,Spayed,5/26/19,4,5/26/22,NORMAL,STRAY,FIELD,6/19/22,HOMEFIRST,24
BLACK,TAN,Female,9/23/22,1,9/23/23,NORMAL,STRAY,OTC,10/21/23,HOMEFIRST,28
GRAY,WHITE,Male,5/27/21,2,5/28/22,NORMAL,STRAY,OTC,6/19/22,HOMEFIRST,22
BLACK,WHITE,Female,10/23/22,1,9/23/23,NORMAL,STRAY,OTC,10/11/23,HOMEFIRST,18
TAN,,Male,8/10/23,0,9/24/23,UNDER AGE/WEIGHT,STRAY,OTC,10/6/23,HOMEFIRST,12
TAN,,Male,8/10/23,0,9/24/23,UNDER AGE/WEIGHT,STRAY,OTC,10/5/23,HOMEFIRST,11
TAN,,Female,8/10/23,0,9/24/23,UNDER AGE/WEIGHT,STRAY,OTC,9/27/23,HOMEFIRST,3
TRICOLOR,,Female,3/17/22,1,8/17/22,NORMAL,OWNER SURRENDER,OTC,8/28/22,HOMEFIRST,11
CALICO,,Spayed,4/28/22,1,8/17/22,NORMAL,OWNER SURRENDER,OTC,8/28/22,HOMEFIRST,11
BLACK,WHITE,Female,8/17/21,2,8/17/22,NORMAL,STRAY,OTC,9/28/22,HOMEFIRST,42
BRN TABBY,WHITE,Spayed,6/17/22,1,8/17/22,NORMAL,STRAY,OTC,8/24/22,HOMEFIRST,7
TORTIE,,Female,8/11/22,1,8/18/22,NORMAL,STRAY,OTC,11/12/22,HOMEFIRST,86
GRAY TABBY,,Male,6/19/22,1,8/19/22,UNDER AGE/WEIGHT,STRAY,OTC,8/27/22,HOMEFIRST,8
BLACK,BROWN,Male,8/19/21,2,8/19/22,NORMAL,STRAY,FIELD,8/28/22,HOMEFIRST,9
BLACK,,Male,8/20/23,0,10/5/23,UNDER AGE/WEIGHT,STRAY,OTC,10/20/23,HOMEFIRST,15
BLACK,BROWN,Female,8/20/15,8,8/20/22,NORMAL,STRAY,FIELD,8/26/22,HOMEFIRST,6
BROWN,BLACK,Female,10/11/21,2,10/7/23,BEHAVIOR  MODERATE,STRAY,OTC,10/26/23,HOMEFIRST,19
BLACK,,Female,9/1/21,2,9/1/22,NORMAL,STRAY,OTC,9/9/22,HOMEFIRST,8
BROWN,,Male,9/1/21,2,9/1/22,NORMAL,STRAY,OTC,9/7/22,HOMEFIRST,6
GRAY,WHITE,Female,6/3/22,1,9/2/22,ILL SEVERE,STRAY,FIELD,10/1/22,HOMEFIRST,29
BLACK,,Male,7/29/22,1,8/29/22,ILL MILD,STRAY,FIELD,9/25/22,HOMEFIRST,27
BLACK,WHITE,Male,7/30/22,1,8/30/22,UNDER AGE/WEIGHT,STRAY,FIELD,9/4/22,HOMEFIRST,5
BLACK,BROWN,Female,12/14/22,0,10/14/23,NORMAL,STRAY,OTC,10/21/23,HOMEFIRST,7
ORG TABBY,,Female,7/20/22,1,9/4/22,UNDER AGE/WEIGHT,STRAY,FIELD,9/29/22,HOMEFIRST,25
ORG TABBY,,Neutered,7/20/22,1,9/4/22,UNDER AGE/WEIGHT,STRAY,FIELD,11/6/22,HOMEFIRST,63
BRN TABBY,,Female,7/20/22,1,9/4/22,UNDER AGE/WEIGHT,STRAY,FIELD,9/29/22,HOMEFIRST,25
BLACK,TAN,Male,10/11/22,1,8/9/23,NORMAL,STRAY,OTC,8/19/23,HOMEFIRST,10
WHITE,BLACK,Male,9/26/21,2,9/24/23,NORMAL,STRAY,FIELD,10/21/23,HOMEFIRST,27
ORANGE,,Male,8/4/22,1,9/4/22,UNDER AGE/WEIGHT,STRAY,OTC,10/2/22,HOMEFIRST,28
TRICOLOR,BLACK,Neutered,3/8/22,1,9/8/22,NORMAL,STRAY,OTC,9/28/22,HOMEFIRST,20
RED,,Male,9/27/21,2,9/27/23,FRACTIOUS,STRAY,OTC,9/30/23,HOMEFIRST,3
CALICO,,Female,8/11/22,1,9/11/22,INJURED  SEVERE,STRAY,FIELD,9/17/22,HOMEFIRST,6
BROWN,,Spayed,6/11/22,1,9/11/22,NORMAL,STRAY,OTC,9/17/22,HOMEFIRST,6
GRAY,TORTIE,Female,8/11/22,1,9/11/22,UNDER AGE/WEIGHT,STRAY,OTC,11/3/22,HOMEFIRST,53
TORTIE DIL,GRAY,Spayed,8/11/22,1,9/11/22,UNDER AGE/WEIGHT,STRAY,OTC,9/16/22,HOMEFIRST,5
BLACK,WHITE,Male,9/11/16,7,9/11/22,NORMAL,OWNER SURRENDER,FIELD,10/14/22,HOMEFIRST,33
BLACK,,Spayed,9/12/17,6,9/12/22,NORMAL,STRAY,FIELD,9/16/22,HOMEFIRST,4
BLACK,TAN,Male,10/7/20,3,10/6/23,NORMAL,STRAY,OTC,10/12/23,HOMEFIRST,6
BLACK,BROWN,Female,2/11/23,0,10/11/23,I/I REPORT,STRAY,OTC,10/15/23,HOMEFIRST,4
WHITE,,Female,5/10/22,1,9/10/22,NORMAL,OWNER SURRENDER,OTC,9/11/22,HOMEFIRST,1
GRAY,,Spayed,9/13/14,9,9/10/22,NORMAL,STRAY,OTC,9/16/22,HOMEFIRST,6
BROWN,WHITE,Neutered,9/10/21,2,9/10/22,NORMAL,STRAY,FIELD,9/16/22,HOMEFIRST,6
BLACK,,Spayed,8/13/22,1,9/13/22,ILL MILD,STRAY,OTC,10/13/22,HOMEFIRST,30
BLACK,,Female,9/14/20,3,9/14/22,NORMAL,STRAY,FIELD,9/25/22,HOMEFIRST,11
BLACK,,Neutered,6/14/22,1,9/14/22,ILL SEVERE,STRAY,FIELD,10/15/22,HOMEFIRST,31
BROWN,BLACK,Female,9/20/21,2,9/15/22,NORMAL,STRAY,FIELD,9/21/22,HOMEFIRST,6
TAN,,Female,7/15/22,1,9/15/22,NORMAL,STRAY,OTC,9/21/22,HOMEFIRST,6
WHITE,BROWN,Male,10/19/21,2,10/18/23,INJURED  MILD,STRAY,OTC,10/22/23,HOMEFIRST,4
BROWN,,Neutered,9/17/18,5,9/17/22,NORMAL,STRAY,OTC,9/23/22,HOMEFIRST,6
GRAY,CREAM,Neutered,9/22/21,2,9/22/22,NORMAL,STRAY,OTC,10/16/22,HOMEFIRST,24
WHITE,,Male,10/23/20,3,10/23/23,INJURED  MODERATE,OWNER SURRENDER,FIELD,10/26/23,HOMEFIRST,3
GRAY,WHITE,Female,7/24/22,1,9/24/22,NORMAL,STRAY,OTC,9/29/22,HOMEFIRST,5
LYNX PT,,Female,5/24/23,0,10/24/23,NORMAL,STRAY,ABAN SHLTR,10/27/23,HOMEFIRST,3
BLACK,,Female,9/3/22,1,9/24/22,UNDER AGE/WEIGHT,STRAY,OTC,10/22/22,HOMEFIRST,28
BLACK,,Female,8/22/23,0,9/22/23,UNDER AGE/WEIGHT,STRAY,OTC,10/20/23,HOMEFIRST,28
BRN TABBY,,Female,9/25/12,11,9/25/22,NORMAL,OWNER SURRENDER,OTC,10/19/22,HOMEFIRST,24
WHITE,,Female,9/22/22,1,9/25/22,UNDER AGE/WEIGHT,STRAY,OTC,12/29/22,HOMEFIRST,95
BLACK,,Spayed,4/30/22,1,9/29/22,NORMAL,STRAY,FIELD,10/9/22,HOMEFIRST,10
WHITE,BROWN,Spayed,9/30/19,4,9/30/22,NORMAL,STRAY,OTC,10/8/22,HOMEFIRST,8
GRAY TABBY,,Male,9/1/22,1,10/1/22,ILL MILD,STRAY,OTC,10/26/22,HOMEFIRST,25
GRAY TABBY,,Male,9/1/22,1,10/1/22,ILL MILD,STRAY,OTC,10/26/22,HOMEFIRST,25
ORANGE,,Male,9/1/22,1,10/1/22,UNDER AGE/WEIGHT,STRAY,OTC,10/2/22,HOMEFIRST,1
BLACK,,Neutered,8/13/22,1,9/3/22,UNDER AGE/WEIGHT,STRAY,ABAN SHLTR,11/26/22,HOMEFIRST,84
BLACK,WHITE,Neutered,9/3/18,5,9/3/22,NORMAL,STRAY,OTC,11/27/22,HOMEFIRST,85
BROWN,BLACK,Male,9/3/18,5,9/3/22,INJURED  MILD,STRAY,FIELD,10/6/22,HOMEFIRST,33
BLACK,WHITE,Spayed,9/20/20,3,9/20/22,INJURED  MILD,STRAY,FIELD,10/15/22,HOMEFIRST,25
WHITE,BLACK,Female,8/22/22,1,9/22/22,NORMAL,STRAY,OTC,9/25/22,HOMEFIRST,3
SEAL PT,,Spayed,9/19/22,1,9/22/22,UNDER AGE/WEIGHT,STRAY,OTC,12/3/22,HOMEFIRST,72
GRAY,CREAM,Neutered,10/11/21,2,9/22/22,NORMAL,STRAY,OTC,10/15/22,HOMEFIRST,23
WHITE,BLACK,Male,9/26/17,6,9/26/22,NORMAL,STRAY,FIELD,3/22/23,HOMEFIRST,177
DAPPLE,WHITE,Female,6/26/22,1,9/26/22,NORMAL,STRAY,OTC,10/1/22,HOMEFIRST,5
BLACK,BROWN,Male,8/1/20,3,9/28/22,NORMAL,RETURN,ADOPTION,10/1/22,HOMEFIRST,3
WHITE,,Neutered,9/28/13,10,9/28/22,ILL MILD,STRAY,OTC,11/11/22,HOMEFIRST,44
WHITE,BLACK,Male,7/28/22,1,9/28/22,ILL MILD,STRAY,OTC,12/28/22,HOMEFIRST,91
BLACK,,Female,7/28/22,1,9/28/22,NORMAL,STRAY,OTC,10/8/22,HOMEFIRST,10
BRN TABBY,WHITE,Male,9/3/22,1,10/3/22,UNDER AGE/WEIGHT,STRAY,FIELD,10/30/22,HOMEFIRST,27
BRN TABBY,WHITE,Female,9/5/22,1,10/5/22,ILL MILD,STRAY,OTC,10/6/22,HOMEFIRST,1
BLACK,,Female,9/5/22,1,10/5/22,ILL MILD,STRAY,OTC,11/11/22,HOMEFIRST,37
BLACK,WHITE,Neutered,10/5/20,3,10/5/22,NORMAL,STRAY,OTC,11/6/22,HOMEFIRST,32
BROWN,WHITE,Spayed,10/6/17,6,10/6/22,NORMAL,WELFARE SEIZED,POLICE,10/19/22,HOMEFIRST,13
BROWN,,Male,4/6/22,1,10/6/22,NORMAL,STRAY,OTC,10/13/22,HOMEFIRST,7
BLACK,,Neutered,9/21/22,1,10/6/22,UNDER AGE/WEIGHT,STRAY,FIELD,12/17/22,HOMEFIRST,72
BLACK,,Neutered,9/21/22,1,10/6/22,UNDER AGE/WEIGHT,STRAY,FIELD,5/18/23,HOMEFIRST,224
TAN,,Male,5/11/22,1,10/10/22,INJURED  SEVERE,STRAY,FIELD,11/12/22,HOMEFIRST,33
WHITE,BLACK,Female,9/11/22,1,10/11/22,UNDER AGE/WEIGHT,STRAY,FIELD,10/16/22,HOMEFIRST,5
GRAY,,Male,10/9/22,1,10/11/22,UNDER AGE/WEIGHT,STRAY,OTC,12/10/22,HOMEFIRST,60
BLACK,TRICOLOR,Male,10/12/20,3,10/12/22,NORMAL,STRAY,OTC,10/19/22,HOMEFIRST,7
BLACK,,Female,8/21/22,1,9/11/22,INJURED  MODERATE,STRAY,FIELD,9/17/22,HOMEFIRST,6
TRICOLOR,,Female,9/16/22,1,10/16/22,NORMAL,STRAY,OTC,11/2/22,HOMEFIRST,17
BLACK,,Male,7/14/22,1,10/14/22,NORMAL,STRAY,OTC,10/22/22,HOMEFIRST,8
BROWN,,Female,10/14/18,5,10/14/22,NORMAL,STRAY,OTC,11/11/22,HOMEFIRST,28
BROWN,,Neutered,9/16/21,2,10/16/22,NORMAL,STRAY,FIELD,12/15/22,HOMEFIRST,60
BROWN,TAN,Neutered,10/18/20,3,10/18/22,NORMAL,STRAY,FIELD,2/19/23,HOMEFIRST,124
BLACK,WHITE,Female,9/19/22,1,10/19/22,NORMAL,STRAY,OTC,12/30/22,HOMEFIRST,72
GRAY,WHITE,Male,9/20/22,1,10/19/22,NORMAL,STRAY,OTC,10/26/22,HOMEFIRST,7
GRAY TABBY,,Female,9/20/22,1,10/19/22,NORMAL,STRAY,OTC,10/23/22,HOMEFIRST,4
TAN,,Spayed,10/25/21,2,10/25/22,INJURED  SEVERE,STRAY,FIELD,10/30/22,HOMEFIRST,5
BLACK,BROWN,Spayed,12/22/21,1,10/20/22,NORMAL,STRAY,OTC,11/9/22,HOMEFIRST,20
UNKNOWN,,Male,9/21/22,1,10/21/22,UNDER AGE/WEIGHT,STRAY,OTC,10/26/22,HOMEFIRST,5
CREAM,BROWN,Female,9/22/22,1,10/22/22,INJURED  MILD,STRAY,OTC,10/26/22,HOMEFIRST,4
ORANGE,WHITE,Male,10/1/22,1,10/31/22,ILL MILD,STRAY,OTC,11/9/22,HOMEFIRST,9
BRN TABBY,,Female,8/28/22,1,10/28/22,UNDER AGE/WEIGHT,STRAY,OTC,12/3/22,HOMEFIRST,36
GRAY TABBY,,Male,9/30/22,1,10/30/22,UNDER AGE/WEIGHT,STRAY,OTC,11/13/22,HOMEFIRST,14
ORG TABBY,,Male,10/2/22,1,11/2/22,UNDER AGE/WEIGHT,STRAY,OTC,11/30/22,HOMEFIRST,28
WHITE,BROWN,Neutered,11/10/16,6,11/9/22,NORMAL,STRAY,OTC,11/17/22,HOMEFIRST,8
WHITE,,Spayed,11/9/16,6,11/9/22,NORMAL,STRAY,FIELD,11/16/22,HOMEFIRST,7
BROWN,WHITE,Spayed,11/9/19,3,11/9/22,NORMAL,STRAY,FIELD,11/17/22,HOMEFIRST,8
BROWN,,Spayed,1/12/22,1,11/10/22,NORMAL,STRAY,OTC,11/16/22,HOMEFIRST,6
ORG TABBY,WHITE,Neutered,8/12/22,1,10/12/22,NORMAL,STRAY,OTC,1/28/23,HOMEFIRST,108
WHITE,,Male,7/22/22,1,11/12/22,NORMAL,STRAY,OTC,11/18/22,HOMEFIRST,6
BLACK,WHITE,Spayed,5/18/22,1,11/13/22,NORMAL,STRAY,FIELD,11/19/22,HOMEFIRST,6
ORANGE,,Male,9/13/22,1,11/13/22,NORMAL,STRAY,OTC,11/16/22,HOMEFIRST,3
GRAY TABBY,,Spayed,9/13/22,1,11/13/22,NORMAL,STRAY,OTC,11/20/22,HOMEFIRST,7
BLACK,WHITE,Female,6/13/21,2,11/13/22,NORMAL,STRAY,OTC,1/14/23,HOMEFIRST,62
GRAY,WHITE,Unknown,10/26/22,1,11/10/22,ILL MODERATETE,STRAY,FIELD,12/18/22,HOMEFIRST,38
BLACK,WHITE,Spayed,11/11/21,1,11/11/22,NORMAL,STRAY,OTC,11/27/22,HOMEFIRST,16
BLACK,WHITE,Female,11/12/21,1,11/12/22,NORMAL,STRAY,FIELD,11/27/22,HOMEFIRST,15
BRN TABBY,,Male,9/12/22,1,11/12/22,NORMAL,STRAY,OTC,12/2/22,HOMEFIRST,20
BRN TABBY,,Female,9/12/22,1,11/12/22,NORMAL,STRAY,OTC,12/2/22,HOMEFIRST,20
ORG TABBY,,Male,11/10/22,0,11/16/22,UNDER AGE/WEIGHT,STRAY,OTC,12/30/22,HOMEFIRST,44
BLACK,BROWN,Neutered,5/17/22,1,11/17/22,NORMAL,OWNER SURRENDER,OTC,11/17/22,HOMEFIRST,0
TRICOLOR,,Female,9/17/22,1,11/17/22,NORMAL,STRAY,OTC,11/23/22,HOMEFIRST,6
BLONDE,,Female,11/17/14,8,11/17/22,NORMAL,STRAY,FIELD,11/25/22,HOMEFIRST,8
BLACK,WHITE,Male,8/23/22,1,11/23/22,NORMAL,STRAY,OTC,12/1/22,HOMEFIRST,8
BLUE MERLE,,Female,8/25/22,1,11/25/22,INJURED  MILD,STRAY,OTC,12/1/22,HOMEFIRST,6
TAN,WHITE,Male,11/25/14,8,11/25/22,ILL MILD,STRAY,FIELD,5/3/23,HOMEFIRST,159
WHITE,BRN TABBY,Male,9/19/22,1,11/19/22,NORMAL,STRAY,OTC,12/7/22,HOMEFIRST,18
TAN,WHITE,Female,11/19/19,3,11/19/22,NORMAL,STRAY,FIELD,11/26/22,HOMEFIRST,7
BL BRINDLE,,Female,11/28/20,2,11/28/22,NORMAL,STRAY,OTC,12/8/22,HOMEFIRST,10
BLACK,,Spayed,9/2/22,1,12/2/22,NORMAL,STRAY,OTC,12/17/22,HOMEFIRST,15
ORG TABBY,,Neutered,9/2/22,1,12/2/22,NORMAL,STRAY,OTC,12/17/22,HOMEFIRST,15
ORG TABBY,,Male,9/2/22,1,12/2/22,NORMAL,STRAY,OTC,12/11/22,HOMEFIRST,9
ORG TABBY,,Neutered,9/2/22,1,12/2/22,NORMAL,STRAY,OTC,12/17/22,HOMEFIRST,15
WHITE,,Spayed,9/14/22,1,11/30/22,NORMAL,STRAY,OTC,12/4/22,HOMEFIRST,4
WHITE,BLACK,Spayed,12/1/19,3,12/1/22,NORMAL,STRAY,FIELD,12/8/22,HOMEFIRST,7
CREAM,WHITE,Spayed,12/5/18,4,12/5/22,NORMAL,STRAY,FIELD,12/28/22,HOMEFIRST,23
BROWN,BLACK,Female,11/20/20,2,12/7/22,NORMAL,RETURN,ADOPTION,1/12/23,HOMEFIRST,36
GRAY,,Neutered,11/25/19,3,12/7/22,NORMAL,RETURN,ADOPTION,12/10/22,HOMEFIRST,3
BLACK,,Spayed,12/3/21,1,12/3/22,NORMAL,STRAY,OTC,1/15/23,HOMEFIRST,43
TAN,,Male,12/4/20,2,12/2/22,NORMAL,STRAY,OTC,12/7/22,HOMEFIRST,5
WHITE,,Neutered,9/1/17,6,12/4/22,NORMAL,STRAY,OTC,12/17/22,HOMEFIRST,13
BLACK,WHITE,Female,10/8/22,1,12/8/22,UNDER AGE/WEIGHT,STRAY,OTC,12/30/22,HOMEFIRST,22
GRAY,BLACK,Female,8/9/22,1,12/8/22,NORMAL,STRAY,OTC,12/14/22,HOMEFIRST,6
BRN TABBY,WHITE,Male,11/8/22,0,12/8/22,ILL SEVERE,STRAY,FIELD,12/9/22,HOMEFIRST,1
GRAY,,Female,12/10/19,3,12/9/22,NORMAL,STRAY,OTC,12/17/22,HOMEFIRST,8
ORANGE,,Male,12/9/20,2,12/9/22,NORMAL,STRAY,OTC,1/5/23,HOMEFIRST,27
WHITE,BROWN,Spayed,2/20/22,1,12/18/22,UNDER AGE/WEIGHT,STRAY,FIELD,12/23/22,HOMEFIRST,5
BLACK,,Male,12/15/21,1,12/15/22,NORMAL,STRAY,OTC,12/18/22,HOMEFIRST,3
WHITE,,Male,12/22/17,5,12/22/22,NORMAL,STRAY,OTC,12/28/22,HOMEFIRST,6
BLACK,WHITE,Neutered,12/31/21,1,12/31/22,NORMAL,STRAY,FIELD,2/9/23,HOMEFIRST,40
BLACK,BROWN,Male,1/1/21,2,1/1/23,NORMAL,STRAY,OTC,1/8/23,HOMEFIRST,7
BROWN,,Male,1/11/19,4,1/11/23,NORMAL,STRAY,OTC,1/15/23,HOMEFIRST,4
BROWN,WHITE,Female,1/21/15,8,1/20/23,INJURED  SEVERE,STRAY,FIELD,5/24/23,HOMEFIRST,124
FAWN,,Spayed,2/1/22,1,2/1/23,NORMAL,STRAY,OTC,5/24/23,HOMEFIRST,112
GRAY,BROWN,Spayed,10/4/22,1,11/4/22,NORMAL,STRAY,OTC,11/6/22,HOMEFIRST,2
BROWN,WHITE,Female,7/24/18,5,11/4/22,NORMAL,OWNER SURRENDER,OTC,11/23/22,HOMEFIRST,19
BLACK,WHITE,Male,11/5/21,1,11/5/22,NORMAL,STRAY,OTC,11/12/22,HOMEFIRST,7
GRAY,WHITE,Spayed,10/6/22,1,11/6/22,UNDER AGE/WEIGHT,STRAY,OTC,11/9/22,HOMEFIRST,3
GRAY,WHITE,Female,9/6/22,1,11/6/22,UNDER AGE/WEIGHT,STRAY,OTC,11/18/22,HOMEFIRST,12
GRAY TABBY,,Male,9/6/22,1,11/6/22,UNDER AGE/WEIGHT,STRAY,OTC,12/2/22,HOMEFIRST,26
BLACK,WHITE,Neutered,3/17/21,2,2/17/23,NORMAL,OWNER SURRENDER,,2/19/23,HOMEFIRST,2
BLACK,WHITE,Neutered,9/4/21,2,1/8/23,BEHAVIOR  MODERATE,OWNER SURRENDER,OTC,2/4/23,HOMEFIRST,27
CHOCOLATE,,Neutered,1/10/22,1,1/10/23,NORMAL,STRAY,FIELD,1/19/23,HOMEFIRST,9
GRAY TABBY,,Spayed,11/10/22,0,1/10/23,NORMAL,STRAY,FIELD,1/14/23,HOMEFIRST,4
GRAY,WHITE,Spayed,1/18/21,2,1/18/23,NORMAL,STRAY,OTC,1/22/23,HOMEFIRST,4
WHITE,BLACK,Male,1/20/21,2,1/18/23,NORMAL,STRAY,OTC,2/7/23,HOMEFIRST,20
CREAM,,Neutered,,,1/19/23,NORMAL,STRAY,OTC,1/25/23,HOMEFIRST,6
BROWN,WHITE,Female,10/26/22,1,1/26/23,NORMAL,STRAY,OTC,2/3/23,HOMEFIRST,8
BLACK,TAN,Female,1/28/21,2,1/28/23,NORMAL,STRAY,OTC,2/4/23,HOMEFIRST,7
WHITE,,Spayed,1/29/20,3,1/29/23,INJURED  SEVERE,STRAY,FIELD,2/23/23,HOMEFIRST,25
BLACK,TAN,Male,2/7/11,12,2/4/23,NORMAL,STRAY,OTC,2/11/23,HOMEFIRST,7
TAN,,Neutered,2/11/21,2,2/11/23,NORMAL,STRAY,OTC,2/19/23,HOMEFIRST,8
BLACK,,Male,11/11/22,0,12/29/22,INJURED  MILD,STRAY,OTC,12/31/22,HOMEFIRST,2
GRAY,,Male,2/23/18,5,2/23/23,NORMAL,STRAY,OTC,3/3/23,HOMEFIRST,8
BRN MERLE,,Female,10/25/22,1,2/25/23,NORMAL,STRAY,OTC,4/27/23,HOMEFIRST,61
GRAY,,Male,2/17/22,1,2/17/23,NORMAL,STRAY,OTC,2/26/23,HOMEFIRST,9
TAN,,Female,2/23/22,1,2/23/23,I/I REPORT,STRAY,OTC,3/2/23,HOMEFIRST,7
BLACK,,Spayed,3/10/22,1,3/10/23,NORMAL,OWNER SURRENDER,OTC,3/26/23,HOMEFIRST,16
WHITE,,Neutered,1/22/21,2,3/11/23,NORMAL,RETURN,ADOPTION,3/18/23,HOMEFIRST,7
BLACK,BROWN,Male,3/15/22,1,3/15/23,NORMAL,STRAY,OTC,3/25/23,HOMEFIRST,10
WHITE,BROWN,Male,8/17/22,1,3/16/23,NORMAL,STRAY,OTC,3/24/23,HOMEFIRST,8
BROWN,WHITE,Neutered,9/22/21,2,3/17/23,NORMAL,OWNER SURRENDER,OTC,3/18/23,HOMEFIRST,1
BLACK,,Male,3/8/23,0,3/17/23,UNDER AGE/WEIGHT,STRAY,OTC,5/5/23,HOMEFIRST,49
BRN TABBY,,Spayed,8/14/22,1,3/14/23,WELFARE SEIZURES,WELFARE SEIZED,POLICE,3/17/23,HOMEFIRST,3
WHITE,GRAY,Female,11/1/15,7,3/15/23,NORMAL,STRAY,FIELD,4/14/23,HOMEFIRST,30
TAN,,Male,7/19/22,1,3/19/23,NORMAL,STRAY,OTC,3/29/23,HOMEFIRST,10
BROWN,WHITE,Neutered,7/21/20,3,3/19/23,BEHAVIOR  MODERATE,OWNER SURRENDER,OTC,5/20/23,HOMEFIRST,62
BLACK,BROWN,Female,3/20/20,3,3/20/23,NORMAL,STRAY,OTC,3/26/23,HOMEFIRST,6
GRAY,,Neutered,2/20/23,0,3/20/23,UNDER AGE/WEIGHT,STRAY,FIELD,4/1/23,HOMEFIRST,12
BLACK,,Male,2/20/23,0,3/20/23,UNDER AGE/WEIGHT,STRAY,FIELD,4/1/23,HOMEFIRST,12
BROWN,WHITE,Female,3/18/22,1,3/17/23,I/I REPORT,STRAY,OTC,3/25/23,HOMEFIRST,8
GRAY TABBY,,Male,2/13/23,0,2/13/23,UNDER AGE/WEIGHT,STRAY,BORN@SHELT,4/8/23,HOMEFIRST,54
BRN TABBY,,Neutered,3/27/22,1,3/26/23,INJURED  MODERATE,STRAY,OTC,5/27/23,HOMEFIRST,62
BLACK,WHITE,Female,3/27/21,2,3/27/23,NORMAL,STRAY,FIELD,4/13/23,HOMEFIRST,17
BRN TABBY,,Male,2/7/23,0,3/22/23,NORMAL,STRAY,OTC,3/25/23,HOMEFIRST,3
WHITE,BLACK,Male,2/7/23,0,3/22/23,NORMAL,STRAY,OTC,3/25/23,HOMEFIRST,3
WHITE,GRAY,Female,9/22/21,2,3/22/23,NORMAL,STRAY,OTC,4/1/23,HOMEFIRST,10
FAWN,BLACK,Spayed,2/9/23,0,3/23/23,NORMAL,STRAY,BORN@SHELT,4/19/23,HOMEFIRST,27
FAWN,BLACK,Male,2/9/23,0,3/23/23,NORMAL,STRAY,BORN@SHELT,4/12/23,HOMEFIRST,20
BLACK,TAN,Male,3/25/21,2,3/25/23,NORMAL,STRAY,OTC,4/12/23,HOMEFIRST,18
CREAM,,Female,11/2/22,0,4/2/23,NORMAL,STRAY,OTC,4/8/23,HOMEFIRST,6
WHITE,GRAY,Male,4/1/23,0,4/4/23,UNDER AGE/WEIGHT,STRAY,FIELD,5/21/23,HOMEFIRST,47
BLACK,,Female,6/24/21,2,4/6/23,I/I REPORT,STRAY,OTC,8/16/23,HOMEFIRST,132
BLACK,WHITE,Female,4/5/23,0,4/6/23,I/I REPORT,STRAY,OTC,5/17/23,HOMEFIRST,41
TAN,BLACK,Male,10/8/22,1,4/20/23,NORMAL,RETURN,ADOPTION,4/26/23,HOMEFIRST,6
GRAY TABBY,BLACK,Female,12/1/22,0,4/5/23,INJURED  MODERATE,STRAY,OTC,5/28/23,HOMEFIRST,53
BLACK,WHITE,Male,4/2/23,0,4/5/23,UNDER AGE/WEIGHT,STRAY,OTC,6/3/23,HOMEFIRST,59
WHITE,,Spayed,4/8/13,10,4/8/23,NORMAL,STRAY,OTC,4/16/23,HOMEFIRST,8
GRAY,,Female,4/8/22,1,4/8/23,NORMAL,STRAY,OTC,6/21/23,HOMEFIRST,74
BROWN,BLACK,Female,7/23/22,1,4/8/23,I/I REPORT,STRAY,OTC,7/29/23,HOMEFIRST,112
ORG TABBY,,Male,3/16/23,0,4/16/23,NORMAL,STRAY,OTC,4/22/23,HOMEFIRST,6
CALICO,,Female,3/16/23,0,4/16/23,NORMAL,STRAY,OTC,4/19/23,HOMEFIRST,3
BLACK,WHITE,Male,3/4/23,0,4/18/23,NORMAL,STRAY,ABAN FIELD,4/22/23,HOMEFIRST,4
BLACK,WHITE,Male,4/10/23,0,4/19/23,UNDER AGE/WEIGHT,STRAY,OTC,6/8/23,HOMEFIRST,50
BLK TABBY,,Female,4/10/23,0,4/19/23,UNDER AGE/WEIGHT,STRAY,OTC,5/20/23,HOMEFIRST,31
BRN TABBY,,Male,4/10/23,0,4/19/23,UNDER AGE/WEIGHT,STRAY,OTC,8/2/23,HOMEFIRST,105
