Primary_Color,Sex,Age,Intake_Date,Intake_Condition,Intake_Type,days_stayed
BLACK,Spayed,4,9/22/19,UNDER AGE/WEIGHT,STRAY,74
BRN TABBY,Neutered,4,10/5/19,UNDER AGE/WEIGHT,STRAY,74
CALICO,Spayed,11,11/20/21,NORMAL,OWNER SURRENDER,74
BLACK,Neutered,1,7/13/22,INJURED  MILD,STRAY,74
BLACK,Spayed,3,4/2/23,INJURED  SEVERE,STRAY,74
GRAY TABBY,Spayed,0,8/5/23,ILL MILD,STRAY,74
BLACK,Neutered,6,5/4/17,NORMAL,STRAY,73
SEAL PT,Spayed,4,9/22/19,UNDER AGE/WEIGHT,STRAY,73
GRAY TABBY,Neutered,3,5/27/20,NORMAL,STRAY,73
BLACK,Spayed,3,5/27/20,NORMAL,STRAY,73
BLACK,Neutered,6,9/9/20,NORMAL,CONFISCATE,73
BLACK,Spayed,6,9/9/20,NORMAL,CONFISCATE,73
BRN TABBY,Neutered,2,8/8/21,NORMAL,STRAY,73
BRN TABBY,Neutered,2,8/8/21,NORMAL,STRAY,73
BROWN,Spayed,17,9/22/21,NORMAL,STRAY,73
BLACK,Neutered,10,10/28/21,NORMAL,WELFARE SEIZED,73
WHITE,Neutered,8,11/7/21,NORMAL,STRAY,73
TRICOLOR,Spayed,2,1/15/23,INJURED  MILD,STRAY,73
ORANGE,Neutered,0,7/5/23,ILL MILD,STRAY,73
BLACK,Neutered,0,8/10/23,UNDER AGE/WEIGHT,STRAY,73
BLACK,Spayed,7,8/3/17,NORMAL,STRAY,72
BRN TABBY,Neutered,9,10/5/17,NORMAL,STRAY,72
CALICO,Female,8,1/11/18,NORMAL,STRAY,72
ORG TABBY,Neutered,6,6/18/18,NORMAL,STRAY,72
LYNX PT,Neutered,10,8/12/18,NORMAL,STRAY,72
BRN TABBY,Neutered,5,9/3/18,UNDER AGE/WEIGHT,STRAY,72
WHITE,Spayed,5,3/3/19,NORMAL,STRAY,72
GRAY,Neutered,5,3/24/19,NORMAL,STRAY,72
TORTIE,Spayed,14,4/4/19,FRACTIOUS,OWNER SURRENDER,72
GRAY,Neutered,18,6/27/19,NORMAL,OWNER SURRENDER,72
GRAY TABBY,Spayed,4,7/31/19,NORMAL,STRAY,72
BRN TABBY,Neutered,4,9/5/19,NORMAL,STRAY,72
BRN TABBY,Spayed,4,9/25/19,NORMAL,STRAY,72
BRN TABBY,Neutered,5,10/4/19,NORMAL,OWNER SURRENDER,72
BRN TABBY,Neutered,4,10/24/19,NORMAL,STRAY,72
BLACK,Spayed,10,7/10/20,NORMAL,OWNER SURRENDER,72
BLACK,Spayed,4,9/10/20,NORMAL,STRAY,72
BLACK,Neutered,12,2/9/21,NORMAL,WELFARE SEIZED,72
GRAY,Neutered,2,9/2/21,ILL SEVERE,STRAY,72
CALICO,Spayed,3,7/26/22,NORMAL,STRAY,72
BRN TABBY,Spayed,2,10/13/22,UNDER AGE/WEIGHT,STRAY,72
BLACK,Neutered,0,7/12/23,I/I REPORT,STRAY,72
BLACK,Spayed,0,7/12/23,I/I REPORT,STRAY,72
SEAL PT,Female,10,8/6/18,ILL MILD,CONFISCATE,71
CALICO,Spayed,8,10/6/18,NORMAL,STRAY,71
BRN TABBY,Female,8,10/19/18,NORMAL,STRAY,71
BLACK,Female,12,11/3/18,NORMAL,OWNER SURRENDER,71
ORG TABBY,Spayed,4,8/14/19,NORMAL,STRAY,71
ORG TABBY,Spayed,4,8/22/19,ILL SEVERE,STRAY,71
BRN TABBY,Neutered,7,9/21/19,ILL MILD,OWNER SURRENDER,71
BRN TABBY,Neutered,4,10/24/19,NORMAL,STRAY,71
BLACK,Neutered,3,10/7/20,UNDER AGE/WEIGHT,STRAY,71
WHITE,Spayed,3,10/7/20,UNDER AGE/WEIGHT,STRAY,71
BRN TABBY,Spayed,2,7/21/21,NORMAL,STRAY,71
TORTIE,Spayed,2,10/29/21,NORMAL,STRAY,71
CALICO,Spayed,7,4/20/23,ILL MILD,OWNER SURRENDER,71
BLACK,Neutered,0,6/20/23,UNDER AGE/WEIGHT,STRAY,71
GRAY,Neutered,0,6/30/23,ILL MODERATETE,STRAY,71
BRN TABBY,Spayed,8,10/19/17,NORMAL,STRAY,70
GRAY,Neutered,5,11/17/18,ILL MILD,STRAY,70
GRAY TABBY,Spayed,7,5/18/19,NORMAL,STRAY,70
BLACK,Neutered,4,5/30/19,NORMAL,STRAY,70
GRAY,Neutered,4,6/26/19,NORMAL,STRAY,70
GRAY,Spayed,4,6/26/19,NORMAL,STRAY,70
SILVER,Neutered,5,9/11/19,NORMAL,OWNER SURRENDER,70
BRN TABBY,Neutered,4,10/24/19,NORMAL,STRAY,70
WHITE,Female,3,7/2/20,NORMAL,STRAY,70
BRN TABBY,Neutered,4,10/9/20,NORMAL,STRAY,70
GRAY TABBY,Neutered,7,2/11/21,INJURED  SEVERE,STRAY,70
GRAY TABBY,Neutered,8,3/25/21,NORMAL,OWNER SURRENDER,70
ORANGE,Neutered,1,6/1/22,UNDER AGE/WEIGHT,STRAY,70
ORANGE,Neutered,1,6/1/22,UNDER AGE/WEIGHT,STRAY,70
WHITE,Neutered,1,6/29/22,NORMAL,STRAY,70
ORG TABBY,Neutered,3,10/26/22,NORMAL,STRAY,70
ORG TABBY,Neutered,1,10/26/22,NORMAL,STRAY,70
BRN TABBY,Spayed,6,7/5/17,FERAL,STRAY,69
GRAY,Spayed,6,8/6/17,UNDER AGE/WEIGHT,STRAY,69
BRN TABBY,Spayed,7,3/31/18,NORMAL,STRAY,69
LC LYNX PT,Neutered,7,3/2/19,NORMAL,STRAY,69
CALICO,Spayed,12,3/6/19,FRACTIOUS,STRAY,69
BLACK,Neutered,17,3/13/19,NORMAL,OWNER SURRENDER,69
CALICO,Female,4,5/24/19,UNDER AGE/WEIGHT,STRAY,69
BRN TABBY,Neutered,4,6/29/19,NORMAL,STRAY,69
TORTIE,Spayed,4,7/27/19,NORMAL,STRAY,69
GRAY TABBY,Spayed,4,9/5/19,NORMAL,STRAY,69
GRAY TABBY,Neutered,4,9/15/19,UNDER AGE/WEIGHT,STRAY,69
BLACK,Neutered,2,5/21/21,NORMAL,STRAY,69
GRAY,Spayed,2,10/7/21,NORMAL,STRAY,69
GRAY TABBY,Spayed,1,4/16/22,UNDER AGE/WEIGHT,STRAY,69
WHITE,Neutered,3,4/17/22,NORMAL,RETURN,69
GRAY TABBY,Neutered,1,5/20/22,NORMAL,STRAY,69
CALICO,Spayed,1,5/26/22,UNDER AGE/WEIGHT,STRAY,69
WHITE,Neutered,2,6/24/23,INJURED  MILD,STRAY,69
GRAY,Spayed,13,2/5/17,NORMAL,OWNER SURRENDER,68
TRICOLOR,Spayed,7,5/26/17,NORMAL,OWNER SURRENDER,68
BRN TABBY,Spayed,6,9/15/17,UNDER AGE/WEIGHT,STRAY,68
GRAY,Spayed,5,4/16/19,NORMAL,OWNER SURRENDER,68
ORG TABBY,Neutered,4,9/7/19,NORMAL,STRAY,68
GRAY,Spayed,4,9/16/19,UNDER AGE/WEIGHT,STRAY,68
ORANGE,Neutered,2,5/28/21,NORMAL,CONFISCATE,68
BRN TABBY,Spayed,2,6/4/21,INJURED  SEVERE,STRAY,68
GRAY TABBY,Spayed,2,8/27/21,NORMAL,STRAY,68
CALICO,Spayed,7,10/1/21,NORMAL,STRAY,68
GRAY,Neutered,2,10/29/21,NORMAL,STRAY,68
BLACK,Spayed,7,3/25/22,NORMAL,OWNER SURRENDER,68
BLACK,Spayed,3,4/22/22,BEHAVIOR  MODERATE,OWNER SURRENDER,68
SEAL PT,Neutered,3,5/21/22,BEHAVIOR  MODERATE,RETURN,68
BLACK,Neutered,1,6/21/22,UNDER AGE/WEIGHT,STRAY,68
BLACK,Neutered,1,10/4/22,ILL SEVERE,STRAY,68
ORANGE,Neutered,0,4/8/23,NORMAL,STRAY,68
GRAY TABBY,Spayed,6,7/10/23,INJURED  MILD,STRAY,68
CALICO DIL,Female,6,9/10/17,UNDER AGE/WEIGHT,STRAY,67
BLACK,Neutered,5,8/18/18,UNDER AGE/WEIGHT,STRAY,67
BLACK,Male,5,8/20/18,FRACTIOUS,STRAY,67
CALICO,Female,5,9/12/18,NORMAL,STRAY,67
CALICO,Female,5,9/12/18,NORMAL,STRAY,67
BRN TABBY,Spayed,4,11/3/19,NORMAL,STRAY,67
BLACK,Neutered,1,4/3/22,UNDER AGE/WEIGHT,STRAY,67
BRN TABBY,Male,1,4/20/22,UNDER AGE/WEIGHT,STRAY,67
ORG TABBY,Neutered,1,5/25/22,UNDER AGE/WEIGHT,STRAY,67
GRAY,Neutered,0,6/20/23,UNDER AGE/WEIGHT,STRAY,67
BRN TABBY,Neutered,1,7/9/23,I/I REPORT,STRAY,67
WHITE,Spayed,7,11/4/18,NORMAL,STRAY,66
BLACK,Neutered,11,3/9/19,NORMAL,OWNER SURRENDER,66
ORANGE,Neutered,12,3/9/19,NORMAL,OWNER SURRENDER,66
BLACK,Neutered,4,6/20/19,UNDER AGE/WEIGHT,STRAY,66
BRN TABBY,Neutered,8,1/15/20,NORMAL,OWNER SURRENDER,66
GRAY,Neutered,3,9/25/20,NORMAL,STRAY,66
BRN TABBY,Spayed,5,10/1/20,NORMAL,STRAY,66
TORTIE,Spayed,3,11/12/20,NORMAL,STRAY,66
BLACK,Neutered,12,3/11/21,INJURED  SEVERE,STRAY,66
BRN TABBY,Spayed,2,5/22/21,UNDER AGE/WEIGHT,STRAY,66
BLACK,Spayed,1,9/8/22,NORMAL,STRAY,66
WHITE,Neutered,0,7/26/23,NORMAL,STRAY,66
ORG TABBY,Neutered,10,3/15/17,NORMAL,STRAY,65
BLACK,Neutered,13,3/16/17,NORMAL,STRAY,65
BRN TABBY,Neutered,9,11/10/17,NORMAL,STRAY,65
GRAY TABBY,Female,5,6/23/18,NORMAL,STRAY,65
BROWN,Spayed,14,10/25/18,NORMAL,OWNER SURRENDER,65
ORG TABBY,Neutered,9,11/6/18,NORMAL,OWNER SURRENDER,65
BRN TABBY,Neutered,4,6/12/19,UNDER AGE/WEIGHT,STRAY,65
BLACK,Neutered,4,9/27/19,UNDER AGE/WEIGHT,STRAY,65
TORTIE,Spayed,4,9/27/19,UNDER AGE/WEIGHT,STRAY,65
BRN TABBY,Spayed,4,10/8/19,ILL MODERATETE,CONFISCATE,65
CRM TABBY,Neutered,10,10/18/19,INJURED  MILD,OWNER SURRENDER,65
TORTIE,Spayed,4,10/24/19,NORMAL,STRAY,65
GRAY TABBY,Spayed,3,10/14/20,UNDER AGE/WEIGHT,STRAY,65
TORTIE,Spayed,3,11/12/20,NORMAL,STRAY,65
GRAY TABBY,Neutered,3,11/19/20,NORMAL,STRAY,65
BLACK,Neutered,2,5/6/21,NORMAL,STRAY,65
CREAM,Spayed,2,9/1/21,ILL MODERATETE,STRAY,65
BRN TABBY,Spayed,0,5/19/23,ILL MILD,STRAY,65
BRN TABBY,Spayed,2,6/26/23,ILL MODERATETE,STRAY,65
BRN TABBY,Neutered,6,7/11/17,NORMAL,STRAY,64
BLACK,Neutered,5,10/10/18,UNDER AGE/WEIGHT,STRAY,64
BRN TABBY,Neutered,4,10/4/19,NORMAL,STRAY,64
GRAY TABBY,Neutered,4,10/16/19,NORMAL,STRAY,64
GRAY TABBY,Spayed,5,5/30/20,NORMAL,OWNER SURRENDER,64
CALICO,Spayed,3,8/28/20,FRACTIOUS,STRAY,64
WHITE,Neutered,2,5/28/21,NORMAL,CONFISCATE,64
ORG TABBY,Neutered,2,6/6/21,NORMAL,STRAY,64
GRAY,Spayed,2,10/7/21,NORMAL,STRAY,64
ORG TABBY,Spayed,9,10/14/21,NORMAL,STRAY,64
BLACK,Neutered,2,12/10/21,ILL MILD,STRAY,64
ORG TABBY,Neutered,4,3/1/22,NORMAL,OWNER SURRENDER,64
BLACK,Neutered,3,4/6/23,ILL SEVERE,STRAY,64
BLACK,Neutered,0,7/26/23,NORMAL,STRAY,64
TORTIE,Spayed,16,5/3/17,NORMAL,OWNER SURRENDER,63
CALICO,Spayed,8,7/19/17,FERAL,STRAY,63
BLACK,Male,4,5/24/19,UNDER AGE/WEIGHT,STRAY,63
BLACK,Female,4,5/30/19,NORMAL,STRAY,63
BRN TABBY,Spayed,4,6/29/19,NORMAL,STRAY,63
BLACK,Neutered,3,11/21/20,NORMAL,STRAY,63
ORG TABBY,Neutered,3,5/6/21,INJURED  SEVERE,STRAY,63
BLACK,Spayed,2,5/23/21,UNDER AGE/WEIGHT,STRAY,63
CALICO,Spayed,2,9/1/21,NORMAL,STRAY,63
GRAY TABBY,Neutered,1,4/23/22,UNDER AGE/WEIGHT,STRAY,63
ORG TABBY,Spayed,1,9/4/22,UNDER AGE/WEIGHT,STRAY,63
GRAY,Spayed,3,11/17/22,INJURED  MODERATE,STRAY,63
BLACK,Neutered,0,7/22/23,NORMAL,STRAY,63
BLACK,Spayed,12,3/31/17,NORMAL,OWNER SURRENDER,62
ORG TABBY,Male,12,6/21/17,FERAL,STRAY,62
ORG TABBY,Female,6,9/28/17,NORMAL,STRAY,62
BRN TABBY,Neutered,5,6/3/18,NORMAL,STRAY,62
GRAY,Spayed,15,7/21/18,NORMAL,OWNER SURRENDER,62
LYNX PT,Neutered,6,8/11/18,NORMAL,STRAY,62
CALICO TAB,Spayed,4,6/2/19,UNDER AGE/WEIGHT,STRAY,62
BRN TABBY,Neutered,4,6/7/19,UNDER AGE/WEIGHT,STRAY,62
BLACK,Spayed,4,7/5/19,UNDER AGE/WEIGHT,STRAY,62
BRN TABBY,Neutered,4,7/5/19,UNDER AGE/WEIGHT,STRAY,62
GRAY TABBY,Spayed,4,9/15/19,UNDER AGE/WEIGHT,STRAY,62
S-T PT,Spayed,7,12/13/19,INJURED  MODERATE,STRAY,62
WHITE,Neutered,6,1/17/20,ILL MODERATETE,STRAY,62
ORANGE,Male,2,11/22/20,UNDER AGE/WEIGHT,STRAY,62
BLACK,Neutered,2,11/22/20,UNDER AGE/WEIGHT,STRAY,62
TORTIE,Spayed,2,11/7/21,NORMAL,RETURN,62
GRAY TABBY,Neutered,1,4/16/22,UNDER AGE/WEIGHT,STRAY,62
GRAY,Spayed,1,5/19/22,NORMAL,STRAY,62
GRAY,Neutered,5,7/28/18,UNDER AGE/WEIGHT,STRAY,61
ORG TABBY,Neutered,9,8/10/18,NORMAL,STRAY,61
BLACK,Neutered,4,5/25/19,UNDER AGE/WEIGHT,STRAY,61
BRN TABBY,Spayed,4,5/25/19,UNDER AGE/WEIGHT,STRAY,61
BLACK,Neutered,4,5/25/19,UNDER AGE/WEIGHT,STRAY,61
BRN TABBY,Neutered,4,9/10/19,NORMAL,STRAY,61
GRAY,Spayed,4,12/22/19,NORMAL,OWNER SURRENDER,61
BRN TABBY,Neutered,3,7/11/20,FRACTIOUS,STRAY,61
ORANGE,Neutered,8,12/26/20,NORMAL,QUARANTINE,61
BRN TABBY,Spayed,2,6/6/21,INJURED  MILD,STRAY,61
TORTIE,Spayed,1,4/25/22,UNDER AGE/WEIGHT,STRAY,61
ORG TABBY,Neutered,1,4/25/22,UNDER AGE/WEIGHT,STRAY,61
GRAY TABBY,Neutered,7,3/10/23,INJURED  MODERATE,STRAY,61
GRAY TABBY,Spayed,1,4/21/23,I/I REPORT,STRAY,61
BLACK,Neutered,14,7/22/17,NORMAL,OWNER SURRENDER,60
BLACK,Neutered,5,6/17/18,NORMAL,STRAY,60
BRN TABBY,Spayed,7,7/7/18,NORMAL,STRAY,60
ORANGE,Male,6,10/1/18,ILL MILD,STRAY,60
BROWN,Female,6,11/10/18,NORMAL,OWNER SURRENDER,60
BLACK,Spayed,4,5/25/19,UNDER AGE/WEIGHT,STRAY,60
CALICO,Spayed,9,6/24/20,BEHAVIOR  MODERATE,OWNER SURRENDER,60
BLACK,Neutered,2,3/5/22,NORMAL,STRAY,60
BLACK,Neutered,2,3/5/22,NORMAL,STRAY,60
ORG TABBY,Neutered,1,5/22/22,UNDER AGE/WEIGHT,STRAY,60
WHITE,Spayed,1,8/10/22,ILL MILD,STRAY,60
BLK SMOKE,Spayed,6,9/6/17,NORMAL,STRAY,59
ORG TABBY,Neutered,5,6/10/18,NORMAL,STRAY,59
TORTIE,Spayed,5,9/8/18,UNDER AGE/WEIGHT,STRAY,59
TORTIE,Spayed,5,9/8/18,UNDER AGE/WEIGHT,STRAY,59
TORTIE,Spayed,13,9/12/18,NORMAL,SAFE KEEP,59
BLACK,Neutered,5,10/8/18,UNDER AGE/WEIGHT,STRAY,59
WHITE,Neutered,6,4/1/19,INJURED  MODERATE,STRAY,59
BLACK,Neutered,4,9/8/19,UNDER AGE/WEIGHT,STRAY,59
CALICO DIL,Spayed,6,10/20/20,NORMAL,STRAY,59
GRAY,Neutered,2,4/12/21,UNDER AGE/WEIGHT,STRAY,59
BRN TABBY,Neutered,2,6/10/21,NORMAL,STRAY,59
BRN TABBY,Spayed,2,6/10/21,FRACTIOUS,STRAY,59
WHITE,Neutered,2,10/14/21,ILL MODERATETE,STRAY,59
BRN TABBY,Neutered,9,11/24/21,ILL MODERATETE,STRAY,59
BLACK,Neutered,1,6/15/22,UNDER AGE/WEIGHT,STRAY,59
WHITE,Neutered,1,7/28/22,UNDER AGE/WEIGHT,STRAY,59
BRN TABBY,Neutered,7,2/4/17,NORMAL,STRAY,58
ORG TABBY,Neutered,16,3/31/17,NORMAL,OWNER SURRENDER,58
BLACK,Neutered,6,10/19/17,UNDER AGE/WEIGHT,STRAY,58
GRAY TABBY,Spayed,8,5/6/18,NORMAL,STRAY,58
ORG TABBY,Spayed,4,10/17/19,NORMAL,STRAY,58
WHITE,Neutered,2,10/14/21,ILL MODERATETE,STRAY,58
BLACK,Neutered,5,5/12/22,NORMAL,OWNER SURRENDER,58
BLACK,Neutered,1,10/11/22,UNDER AGE/WEIGHT,STRAY,58
GRAY,Spayed,1,10/11/22,UNDER AGE/WEIGHT,STRAY,58
WHITE,Neutered,1,11/10/22,ILL MODERATETE,STRAY,58
BLACK,Neutered,0,5/11/23,NORMAL,STRAY,58
SNOWSHOE,Neutered,8,2/23/17,NORMAL,OWNER SURRENDER,57
BLACK,Neutered,6,6/14/17,UNDER AGE/WEIGHT,STRAY,57
BLACK,Neutered,9,9/9/17,NORMAL,STRAY,57
BLK SMOKE,Female,6,1/18/18,NORMAL,STRAY,57
SEAL PT,Spayed,9,6/20/18,NORMAL,STRAY,57
ORG TABBY,Male,5,7/25/18,NORMAL,STRAY,57
BLACK,Spayed,5,10/26/18,NORMAL,STRAY,57
BLACK,Spayed,7,3/2/19,NORMAL,STRAY,57
BLACK,Female,10,4/4/19,NORMAL,OWNER SURRENDER,57
BRN TABBY,Spayed,4,7/10/19,UNDER AGE/WEIGHT,STRAY,57
ORG TABBY,Neutered,4,7/12/19,NORMAL,STRAY,57
BLACK,Neutered,3,6/27/20,NORMAL,STRAY,57
BRN TABBY,Spayed,6,6/27/20,NORMAL,OWNER SURRENDER,57
S-T PT,Spayed,5,10/22/20,NORMAL,STRAY,57
BLACK,Spayed,3,7/24/21,ILL MILD,STRAY,57
BLACK,Spayed,4,11/12/21,NORMAL,STRAY,57
BLACK,Neutered,9,5/20/22,INJURED  MILD,STRAY,57
BRN TABBY,Spayed,6,5/31/17,FERAL,STRAY,56
BLACK,Spayed,6,6/11/17,NORMAL,STRAY,56
BLACK,Female,8,8/9/17,NORMAL,OWNER SURRENDER,56
BRN TABBY,Male,6,2/21/18,NORMAL,STRAY,56
BRN TABBY,Neutered,5,8/1/18,NORMAL,STRAY,56
BRN TABBY,Neutered,6,9/8/18,FRACTIOUS,STRAY,56
TORTIE,Spayed,7,9/15/18,NORMAL,STRAY,56
GRAY TABBY,Neutered,4,6/6/19,ILL MILD,STRAY,56
TORTIE DIL,Spayed,7,8/24/19,NORMAL,STRAY,56
BLACK,Neutered,13,9/15/19,NORMAL,OWNER SURRENDER,56
BRN TABBY,Neutered,13,9/15/19,NORMAL,OWNER SURRENDER,56
BLACK,Neutered,5,10/9/19,NORMAL,OWNER SURRENDER,56
BLACK,Neutered,5,1/23/20,ILL MILD,STRAY,56
BRN TABBY,Spayed,2,7/15/21,INJURED  MILD,STRAY,56
UNKNOWN,Neutered,1,4/13/22,NORMAL,STRAY,56
WHITE,Spayed,1,6/22/22,UNDER AGE/WEIGHT,STRAY,56
CRM TABBY,Neutered,3,12/14/22,ILL MODERATETE,OWNER SURRENDER,56
BLACK,Male,0,4/5/23,FRACTIOUS,STRAY,56
WHITE,Spayed,0,8/5/23,NORMAL,STRAY,56
SEAL PT,Neutered,6,7/27/17,FERAL,STRAY,55
ORG TABBY,Neutered,5,6/15/18,FRACTIOUS,STRAY,55
ORG TABBY,Neutered,5,6/15/18,FRACTIOUS,STRAY,55
ORANGE,Male,5,8/22/18,NORMAL,STRAY,55
BLACK,Spayed,4,6/20/19,UNDER AGE/WEIGHT,STRAY,55
BLACK,Neutered,5,1/24/20,NORMAL,STRAY,55
BLACK,Spayed,3,10/1/20,UNDER AGE/WEIGHT,STRAY,55
TORTIE,Spayed,3,10/29/20,NORMAL,STRAY,55
GRAY TIGER,Neutered,5,1/14/21,NORMAL,OWNER SURRENDER,55
GRAY,Neutered,2,6/10/21,FRACTIOUS,STRAY,55
BRN TABBY,Neutered,2,8/23/21,INJURED  MILD,STRAY,55
BLACK,Neutered,7,10/17/21,NORMAL,STRAY,55
BLACK,Neutered,2,10/28/21,NORMAL,WELFARE SEIZED,55
LYNX PT,Neutered,9,2/10/22,NORMAL,OWNER SURRENDER,55
WHITE,Neutered,6,5/1/22,NORMAL,OWNER SURRENDER,55
GRAY,Neutered,1,10/23/22,ILL MODERATETE,STRAY,55
GRAY,Neutered,0,5/13/23,UNDER AGE/WEIGHT,STRAY,55
BLACK,Spayed,1,6/29/23,INJURED  MODERATE,STRAY,55
GRAY,Spayed,10,10/20/18,FRACTIOUS,OWNER SURRENDER,54
GRAY,Female,5,11/13/18,UNDER AGE/WEIGHT,STRAY,54
TORTIE,Spayed,5,11/18/18,NORMAL,STRAY,54
TORTIE,Spayed,4,5/25/19,FRACTIOUS,STRAY,54
BRN TABBY,Spayed,4,6/7/19,UNDER AGE/WEIGHT,STRAY,54
GRAY,Spayed,4,6/14/19,ILL MILD,STRAY,54
BLACK,Spayed,5,5/24/20,NORMAL,OWNER SURRENDER,54
BRN TABBY,Spayed,5,9/7/20,NORMAL,STRAY,54
BLACK,Neutered,2,10/22/21,ILL MILD,STRAY,54
CALICO,Spayed,3,5/2/22,NORMAL,STRAY,54
ORANGE,Neutered,0,2/18/23,UNDER AGE/WEIGHT,STRAY,54
GRAY,Female,6,10/3/18,INJURED  MODERATE,STRAY,53
BLACK,Neutered,16,10/27/18,INJURED  SEVERE,STRAY,53
GRAY,Spayed,4,6/29/19,NORMAL,STRAY,53
ORG TABBY,Spayed,4,9/7/19,NORMAL,STRAY,53
ORG TABBY,Neutered,4,9/7/19,NORMAL,STRAY,53
BLACK,Neutered,2,5/22/21,UNDER AGE/WEIGHT,STRAY,53
ORANGE,Neutered,4,6/12/21,NORMAL,OWNER SURRENDER,53
GRAY,Neutered,2,2/14/22,NORMAL,OWNER SURRENDER,53
ORANGE,Neutered,6,5/1/22,NORMAL,OWNER SURRENDER,53
ORG TABBY,Neutered,1,5/4/22,UNDER AGE/WEIGHT,STRAY,53
GRAY TABBY,Spayed,1,6/25/22,UNDER AGE/WEIGHT,STRAY,53
GRAY TABBY,Neutered,1,10/24/22,ILL MILD,STRAY,53
ORG TABBY,Male,14,3/7/17,ILL MODERATETE,STRAY,52
ORANGE,Neutered,7,9/2/17,NORMAL,OWNER SURRENDER,52
BLACK,Male,5,4/29/18,NORMAL,STRAY,52
BRN TABBY,Spayed,7,11/21/18,NORMAL,STRAY,52
ORANGE,Neutered,11,5/12/19,ILL MODERATETE,STRAY,52
BLACK,Spayed,6,8/15/19,NORMAL,STRAY,52
GRAY TABBY,Spayed,6,6/17/20,NORMAL,STRAY,52
BLACK,Spayed,2,6/6/21,NORMAL,STRAY,52
BLACK,Spayed,8,11/17/21,NORMAL,OWNER SURRENDER,52
UNKNOWN,Spayed,1,4/13/22,NORMAL,STRAY,52
BLACK,Neutered,2,5/4/22,NORMAL,OWNER SURRENDER,52
BLACK,Spayed,2,6/15/22,ILL MILD,STRAY,52
BLACK,Spayed,2,6/15/22,ILL MILD,STRAY,52
BLACK,Spayed,1,6/22/22,NORMAL,STRAY,52
GRAY,Neutered,1,7/28/22,UNDER AGE/WEIGHT,STRAY,52
BLACK,Spayed,1,10/31/22,NORMAL,STRAY,52
BLACK,Neutered,8,1/4/23,NORMAL,STRAY,52
BRN TABBY,Neutered,5,2/12/23,ILL SEVERE,STRAY,52
BLACK,Neutered,0,7/16/23,UNDER AGE/WEIGHT,STRAY,52
BLACK,Neutered,6,10/19/17,UNDER AGE/WEIGHT,STRAY,51
ORG TABBY,Neutered,4,5/24/19,UNDER AGE/WEIGHT,STRAY,51
WHITE,Neutered,18,6/27/19,NORMAL,OWNER SURRENDER,51
BLACK,Neutered,6,1/16/20,NORMAL,OWNER SURRENDER,51
BLACK,Spayed,7,6/25/20,NORMAL,OWNER SURRENDER,51
BLACK,Neutered,3,6/26/20,NORMAL,STRAY,51
TORTIE DIL,Spayed,3,10/1/20,UNDER AGE/WEIGHT,STRAY,51
BLACK,Neutered,8,10/1/20,BEHAVIOR  MODERATE,STRAY,51
GRAY,Neutered,1,4/21/22,UNDER AGE/WEIGHT,STRAY,51
BRN TABBY,Spayed,1,1/12/23,NORMAL,STRAY,51
WHITE,Spayed,8,2/23/17,NORMAL,OWNER SURRENDER,50
CALICO,Female,10,3/11/17,NORMAL,OWNER SURRENDER,50
TAN,Spayed,9,3/11/17,NORMAL,STRAY,50
BRN TABBY,Female,6,4/26/17,UNDER AGE/WEIGHT,STRAY,50
GRAY,Spayed,6,6/29/17,FERAL,STRAY,50
CALICO,Spayed,6,8/23/17,NORMAL,STRAY,50
ORANGE,Spayed,8,3/16/18,NORMAL,OWNER SURRENDER,50
BLACK,Female,5,6/29/18,UNDER AGE/WEIGHT,STRAY,50
GRAY TABBY,Spayed,5,9/12/18,NORMAL,STRAY,50
WHITE,Spayed,4,7/6/19,NORMAL,STRAY,50
TORTIE,Spayed,4,9/14/19,UNDER AGE/WEIGHT,STRAY,50
ORG TABBY,Spayed,4,9/27/19,NORMAL,STRAY,50
BLACK,Spayed,11,6/20/20,NORMAL,STRAY,50
WHITE,Neutered,3,6/26/20,NORMAL,STRAY,50
BLACK,Neutered,3,10/24/20,NORMAL,STRAY,50
WHITE,Neutered,3,10/30/20,NORMAL,STRAY,50
GRAY,Neutered,7,5/27/21,NORMAL,STRAY,50
BLK SMOKE,Neutered,2,7/27/21,NORMAL,STRAY,50
BLACK,Spayed,1,4/29/22,NORMAL,STRAY,50
CALICO DIL,Spayed,2,5/6/22,NORMAL,STRAY,50
FLAME PT,Neutered,5,7/16/22,NORMAL,STRAY,50
SEAL PT,Spayed,14,3/31/17,NORMAL,OWNER SURRENDER,49
BRN TABBY,Neutered,17,3/31/17,NORMAL,OWNER SURRENDER,49
BLACK,Male,6,9/10/17,NORMAL,STRAY,49
BLACK,Male,6,9/10/17,NORMAL,STRAY,49
BLK TABBY,Spayed,20,1/5/18,NORMAL,OWNER SURRENDER,49
ORG TABBY,Neutered,5,6/30/18,NORMAL,STRAY,49
SEAL PT,Neutered,17,2/16/19,NORMAL,STRAY,49
ORG TABBY,Neutered,4,6/23/19,NORMAL,STRAY,49
GRAY TABBY,Spayed,4,7/17/19,NORMAL,STRAY,49
GRAY TABBY,Neutered,4,7/17/19,NORMAL,STRAY,49
CALICO DIL,Spayed,5,7/18/19,NORMAL,STRAY,49
BLACK,Spayed,4,8/15/19,NORMAL,STRAY,49
