Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
*SKYLAR,CAT,DOMESTIC MH,GRAY TABBY/WHITE,Spayed,KITTN,07/23/2014,K14-010497,LOBBY,A310731,08/27/2014,10/01/2014,35,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,COUNTY,*HEALDSBURG,95448,"95448(38.613965, -122.869825)",1
*SPREE,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,08/24/2018,K19-033465,WESTFARM,A390894,08/24/2019,09/18/2019,25,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
*DAMIAN,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,03/12/2017,K17-024822,WESTFARM,A356733,08/12/2017,08/25/2017,13,OWNER SURRENDER,FIELD,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95421,"95421(38.5325498, -123.0878063)",1
*MARLEY,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,05/13/2018,K18-028753,LOBBY,A374211,06/22/2018,07/27/2018,35,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95446,"95446(38.503755, -122.993485)",1
*KINKY,CAT,DOMESTIC SH,GRAY,Neutered,KITTN,03/10/2015,K15-013107,LOBBY,A317847,03/11/2015,05/16/2015,66,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*CODY,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,KITTN,04/16/2015,K15-014840,LOBBY,A321465,07/08/2015,07/10/2015,2,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*YOLANDA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,03/16/2021,K22-040793,CI01,A410256,02/24/2022,04/23/2022,58,STRAY,PHONE,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
BREE,CAT,DOMESTIC MH,CALICO,Spayed,SMALL,04/01/2009,K14-008245,CS04,A304865,04/01/2014,04/18/2014,17,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
,CAT,SIAMESE/MIX,LYNX PT,Male,KITTN,09/24/2020,K20-037376,CA03,A401458,11/19/2020,01/20/2021,62,OWNER SURRENDER,OVER THE COUNTER_OS,ADOPTION,VOLUNTEER,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
*OWEN,CAT,DOMESTIC MH,BLACK/WHITE,Neutered,KITTN,03/30/2022,K22-041802,WESTFARM,A412237,06/30/2022,07/24/2022,24,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95446,"95446(38.503755, -122.993485)",1
RALPHIE,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/21/2018,K18-028932,LOBBY,A374453,07/05/2018,08/18/2018,44,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,*WINDSOR,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*REMI,CAT,DOMESTIC SH,CALICO/BLUE CREAM,Spayed,SMALL,12/01/2020,K22-042948,CA02,A413871,10/25/2022,12/20/2022,56,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.613965, -122.869825)",1
*GOLDY,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,09/03/2015,K15-016657,LOBBY,A329430,11/03/2015,11/18/2015,15,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*KIM,CAT,SNOWSHOE,LYNX PT,Spayed,KITTN,10/20/2019,K20-035417,LOBBY,A396304,02/20/2020,02/27/2020,7,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95401,"95401(38.44366000000008, -122.72461629999998)",1
*CARL,CAT,SNOWSHOE/MIX,LILAC PT,Neutered,KITTN,06/01/2016,K16-020240,CS04,A340729,08/11/2016,08/20/2016,9,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,*WINDSOR,COUNTY,95409,"95409(38.46382, -122.67058)",1
,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,09/18/2019,K19-034362,CA03,A393418,10/31/2019,12/05/2019,35,STRAY,FIELD,ADOPTION,REFERRAL-V,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*ROSCOE,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,05/10/2016,K16-019237,LOBBY,A338177,06/10/2016,07/21/2016,41,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*BUG,CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,SMALL,05/15/2021,K22-040805,CS05,A410297,02/25/2022,03/16/2022,19,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*ZELDA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,06/08/2015,K15-015153,LOBBY,A324740,07/29/2015,09/25/2015,58,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*GRADY,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,08/02/2016,K16-020802,LOBBY,A342460,09/17/2016,10/22/2016,35,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,*WINDSOR,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*GEILLIS,CAT,DOMESTIC LH,TORTIE,Spayed,SMALL,03/23/2014,K14-012108,LOBBY,A314956,12/16/2014,12/26/2014,10,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*SEBASTOPOL,95472,"95472(38.4007555, -122.8277055)",1
LOUISA DOVE,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,SMALL,04/20/2016,K17-023116,CA02,A351103,04/13/2017,05/06/2017,23,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*KAMALA,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,01/19/2022,K23-043643,CA02,A415039,01/19/2023,03/02/2023,42,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*PHOENIX,CAT,DOMESTIC LH,ORG TABBY,Neutered,SMALL,05/21/2019,K19-033171,LOBBY,A390095,08/01/2019,08/10/2019,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*JASPURR MCGEE,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,01/04/2016,K18-030943,CA02,A382044,12/19/2018,01/10/2019,22,STRAY,VET_HOSP,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94044,"94044(37.6361259, -122.4893345)",1
VOSS,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,04/11/2018,K18-029216,WESTFARM,A374947,07/25/2018,08/02/2018,8,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,*WINDSOR,COUNTY,95409,"95409(38.46382, -122.67058)",1
*DENNIS,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,06/03/2016,K16-020077,WESTFARM,A340311,08/02/2016,08/27/2016,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
THUNDER,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,05/10/2017,K17-023467,LOBBY,A352616,05/11/2017,07/25/2017,75,STRAY,BORN_HERE,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*FILBERT,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,07/16/2013,K16-019569,CS05,A339246,07/05/2016,07/23/2016,18,STRAY,VET_HOSP,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.613965, -122.869825)",1
*CLYDE,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,04/19/2021,K21-039092,LOBBY,A405192,07/20/2021,08/24/2021,35,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,PENDING,COUNTY,COUNTY,95492,"95492(38.541355, -122.80026)",1
CHLOE,CAT,SIAMESE,SEAL PT,Spayed,SMALL,01/01/2004,K17-022660,CA02,A349004,02/28/2017,05/06/2017,67,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,COUNTY,95465,"95465(38.4062, -122.947145)",1
ROZU,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,11/17/2014,K17-026112,CA02,A363780,10/31/2017,12/27/2017,57,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-O,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*DANIEL,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,04/21/2017,K18-027314,CA02,A368890,02/16/2018,03/07/2018,19,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
*MITSY,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,03/18/2018,K19-031644,CA02,A384843,03/08/2019,03/22/2019,14,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95401,"95401(38.44366000000008, -122.72461629999998)",1
CHARLIE,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,KITTN,07/01/2017,K17-025152,CA02,A360548,09/01/2017,11/09/2017,69,STRAY,FIELD,ADOPTION,REFERRAL-V,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*JADE,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,07/27/2015,K19-033104,CA02,A389963,07/27/2019,09/03/2019,38,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,COUNTY,95404,"95404(38.44511, -122.708)",1
*CONNIE,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,05/31/2020,K20-036613,WESTFARM,A400207,09/01/2020,09/26/2020,25,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*GIBSON,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,01/26/2015,K16-017583,CS04,A332394,01/26/2016,02/09/2016,14,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
RAVEN,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,04/01/2014,K14-009588,LOBBY,A308658,07/01/2014,07/03/2014,2,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95421,"95421(38.5325498, -123.0878063)",1
*LILLY,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,08/16/2013,K16-020311,CS05,A341106,08/16/2016,08/27/2016,11,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1
SPOT,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,01/17/2022,K23-043757,CA02,A414511,02/01/2023,03/02/2023,29,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*SEBASTOPOL,COUNTY,95404,"95404(38.44511, -122.708)",1
*BERT,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,10/03/2018,K18-030850,CI01,A381757,12/07/2018,12/26/2018,19,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95409,"95409(38.46382, -122.67058)",1
*JEN,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,04/03/2019,K19-032841,CA02,A389193,07/03/2019,07/09/2019,6,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*CLOVERDALE,95425,"95425(38.79895, -123.01762)",1
SAMSON,CAT,SIAMESE/MIX,LYNX PT,Neutered,KITTN,07/06/2018,K18-029729,LOBBY,A375800,09/05/2018,09/28/2018,23,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
*BARB,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,07/15/2015,K15-016152,WESTFARM,A327749,09/26/2015,10/06/2015,10,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
PRINCESS,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,04/16/2014,K14-009719,CA02,A308888,07/09/2014,08/15/2014,37,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1
*SIRIUS,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,07/15/2014,K14-010296,49ERPET,A310192,08/15/2014,11/16/2014,93,TRANSFER,VET_HOSP,ADOPTION,49ER PET,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*JEMMA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,05/13/2014,K14-009135,LOBBY,A307610,06/04/2014,08/05/2014,62,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.613965, -122.869825)",1
*CESAR,CAT,DOMESTIC MH,ORANGE/WHITE,Neutered,MED,01/17/2021,K22-040830,CI01,A410345,03/01/2022,04/19/2022,49,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
*COWBOY,CAT,DOMESTIC SH,BLACK/WHITE,Male,KITTN,02/14/2016,K16-018467,TX,A335542,04/14/2016,06/18/2016,65,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL,TREATABLE/REHAB,TREATABLE/REHAB,*WINDSOR,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
LUCY,CAT,DOMESTIC SH,GRAY,Spayed,SMALL,10/15/2010,K15-012865,CS04,A316195,02/21/2015,02/28/2015,7,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*COTATI,94931,"94931(38.3260186, -122.706422)",1
*TURTLE,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,04/21/2023,K23-045117,LOBBY,A418483,06/21/2023,07/19/2023,28,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95444,"95444(38.43463, -122.868295)",1
BUSTER,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/10/2016,K16-018995,CS04,A337595,05/25/2016,08/02/2016,69,CONFISCATE,FLD_ARREST,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*NANI,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,10/12/2019,K21-039758,CA02,A406959,09/29/2021,11/05/2021,37,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*SULLI,CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,12/01/2020,K22-043256,CA02,A414305,12/01/2022,01/05/2023,35,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*EBONY,CAT,DOMESTIC SH,BLACK,Spayed,SMALL,07/20/2009,K16-019874,CS05,A339921,07/20/2016,09/06/2016,48,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*SIMON,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,02/13/2023,K23-045382,CA02,A419001,07/13/2023,08/02/2023,20,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
AMAYA,CAT,DOMESTIC SH,GRAY,Spayed,SMALL,04/18/2016,K18-027766,CA02,A370670,04/07/2018,04/28/2018,21,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*CUPID,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,05/21/2015,K15-015544,WESTFARM,A326221,08/21/2015,09/10/2015,20,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,*ROHNERT PARK,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*BROCK,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,05/13/2017,K17-024374,LOBBY,A355217,07/13/2017,08/03/2017,21,STRAY,FIELD,ADOPTION,REFERRAL-O,TREATABLE/REHAB,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*HANNAH,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,07/04/2018,K18-030872,WESTFARM,A381836,12/11/2018,01/08/2019,28,OWNER SURRENDER,FIELD,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
MAUI,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,06/28/2017,K17-024370,LOBBY,A355213,07/13/2017,09/16/2017,65,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
SATORI,CAT,DOMESTIC MH,BLACK/WHITE,Neutered,MED,04/07/2014,K21-038220,CA02,A403563,04/07/2021,06/08/2021,62,CONFISCATE,FLD_HOSPTL,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
HANA,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,06/04/2017,K17-025581,LOBBY,A362336,10/04/2017,10/11/2017,7,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*BEATRICE,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,07/31/2018,K18-029378,LOBBY,A375208,08/07/2018,10/05/2018,59,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95436,"95436(38.47872000000007, -122.890155)",1
MANDY,CAT,DOMESTIC LH,CALICO/WHITE,Spayed,SMALL,08/15/2001,K14-010307,CS05,A310204,08/15/2014,01/10/2015,148,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*ROCKY,CAT,DOMESTIC MH,GRAY TABBY,Neutered,KITTN,07/23/2016,K16-021586,LOBBY,A345437,11/16/2016,12/01/2016,15,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*SALLY,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,SMALL,12/06/2015,K17-026423,WESTFARM,A364885,11/22/2017,12/23/2017,31,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*FRANKIE,CAT,DOMESTIC MH,TORTIE,Spayed,KITTN,04/16/2019,K19-032118,RECEIVING,A386760,05/04/2019,07/12/2019,69,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
OLIVER,CAT,DOMESTIC SH,BLK TABBY,Neutered,KITTN,04/06/2018,K18-028480,LOBBY,A373173,05/31/2018,06/07/2018,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*FUDGE,CAT,DOMESTIC SH,BUFF/WHITE,Spayed,KITTN,04/24/2020,K20-036045,WESTFARM,A398088,06/23/2020,07/18/2020,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*LICORICE,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,04/06/2014,K14-008730,WESTFARM,A306234,05/06/2014,06/20/2014,45,STRAY,FIELD,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*COCO,CAT,DOMESTIC SH,CHOCOLATE/WHITE,Spayed,KITTN,04/04/2018,K18-029687,LOBBY,A375699,08/31/2018,09/12/2018,12,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
ANNIE,CAT,DOMESTIC SH,FLAME PT,Spayed,SMALL,08/11/2011,K17-022514,CA02,A348192,02/11/2017,02/22/2017,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
*CLARICE,CAT,DOMESTIC MH,GRAY,Spayed,SMALL,03/14/2014,K15-013104,WESTFARM,A317844,03/11/2015,05/16/2015,66,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*DANTE,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,07/24/2018,K18-029812,WESTFARM,A375917,09/08/2018,10/19/2018,41,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
*SPICE,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,07/18/2017,K17-026818,LOBBY,A355850,12/27/2017,01/03/2018,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95482,"95482(39.14502, -123.21137)",1
PADME,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,05/04/2017,K17-024417,LOBBY,A355637,07/15/2017,07/26/2017,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*CLOVERDALE,95425,"95425(38.79895, -123.01762)",1
*COCO BEAN,CAT,DOMESTIC SH,CHOCOLATE/WHITE,Neutered,SMALL,02/23/2016,K17-022619,MAC,A348633,02/23/2017,03/11/2017,16,STRAY,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*JUNIOR,CAT,SIAMESE,SEAL PT,Neutered,KITTN,09/24/2020,K20-037382,CA03,A401483,11/19/2020,12/05/2020,16,OWNER SURRENDER,OVER THE COUNTER_OS,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,COUNTY,COUNTY,95448,"95448(38.613965, -122.869825)",1
*WYATT,CAT,DOMESTIC SH,ORANGE,Neutered,KITTN,08/02/2015,K15-015539,LOBBY,A326213,08/21/2015,10/10/2015,50,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
SASHA,CAT,DOMESTIC SH,WHITE/TORTIE,Spayed,SMALL,11/19/2010,K14-011479,CS05,A313118,10/27/2014,12/11/2014,45,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*MEG,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,06/19/2016,K16-020452,CS04,A341587,08/24/2016,09/06/2016,13,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
ROCKET,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,06/17/2016,K16-019536,LOBBY,A339173,07/01/2016,09/23/2016,84,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,94922,"94922(38.3468283, -122.9728609)",1
*MONKEY,CAT,DOMESTIC LH,GRAY,Spayed,KITTN,09/22/2016,K16-021997,LOBBY,A346516,12/22/2016,12/30/2016,8,STRAY,COMM CAT,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
